Stream;Training;B(m);H(m);U(m/s);u*(m/s);B/H;U/u*;beta;sigma;Kx(m2/s)
Tangipahoa_River_La.;**;29.9;0.40;0.34;0.020;74.8;17.0;4.31;1.46;44.0
Red_River,_La.;*;253.6;1.62;0.61;0.032;156.5;19.06;5.05;1.20;143.8
Red_River,_La.;*;161.5;3.96;0.29;0.060;40.8;4.83;3.93;1.44;130.5
Red_River,_La.;*;152.4;3.66;0.45;0.057;41.6;7.89;3.73;1.44;227.6
Red_River,_La.;*;155.1;1.74;0.47;0.036;89.1;13.06;4.49;1.24;177.7
Sabina_River_La.;*;116.4;1.65;0.58;0.054;70.5;10.74;4.26;1.19;131.3
Sabina_River_La.;**;160.3;2.32;1.06;0.054;69.1;19.63;4.24;1.17;308.9
Sabina_River_Tex.;**;14.2;0.50;0.13;0.037;28.4;3.51;3.35;2.53;12.8
Sabina_River_Tex.;*;12.2;0.51;0.23;0.030;23.9;7.67;3.17;2.05;14.7
Sabina_River_Tex.;*;21.3;0.93;0.36;0.035;22.9;10.29;3.13;1.47;24.2
Mississippi_River_La.;**;711.2;19.94;0.56;0.041;35.7;13.66;3.58;1.44;237.2
Mississippi_River_Mo.;**;533.4;4.94;1.05;0.069;108.0;15.22;4.68;1.38;457.7
Mississippi_River_Mo.;**;537.4;8.90;1.51;0.097;60.4;15.57;4.10;1.38;374.1
Wind_Big._River_Wyo.;*;44.2;1.37;0.99;0.142;32.3;6.97;3.48;1.56;184.6
Wind_Big._River_Wyo.;*;85.3;2.38;1.74;0.153;35.8;11.37;3.58;1.56;464.6
Wind_Big._River_Wyo.;**;59.4;1.10;0.88;0.119;54.0;7.39;3.99;1.18;41.8
Wind_Big._River_Wyo.;*;68.6;2.16;1.55;0.168;31.8;9.23;3.46;1.18;162.6
Copper_Creep_Va.;*;16.7;0.49;0.20;0.080;34.1;2.50;3.53;2.54;16.8
Clinch_River_Va.;*;48.5;1.16;0.21;0.069;41.8;3.04;3.73;1.25;14.8
Clinch_River_Va.;**;28.7;0.61;0.35;0.069;47.0;5.07;3.85;1.14;10.7
Clinch_River_Va.;*;57.9;2.45;0.75;0.104;23.6;7.21;3.16;1.14;40.5
Clinch_River_Va.;**;53.2;2.41;0.66;0.107;22.1;6.17;3.10;1.14;36.9
Copper_Creek_Va.;*;18.3;0.38;0.15;0.116;48.2;1.29;3.88;2.54;20.7
Copper_Creek_Va.;*;16.8;0.47;0.24;0.080;35.7;3.00;3.58;2.54;24.6
Powell_River_Tenn.;**;36.8;0.87;0.13;0.054;42.3;2.41;3.74;2.20;15.5
Copper_River_Va.;*;19.6;0.84;0.49;0.101;23.3;4.85;3.15;1.26;20.8
Nooksack_River_Wash.;*;64.0;0.76;0.67;0.268;84.2;2.50;4.43;1.30;34.8
John_Day_River_Ore.;**;25.0;0.58;1.01;0.140;43.1;7.21;3.76;1.08;13.9
John_Day_River_Ore.;**;34.1;2.47;0.82;0.180;13.8;4.56;2.62;1.89;65.0
Yadkin_River_N.C.;*;70.1;2.35;0.43;0.101;29.8;4.26;3.39;2.17;111.5
Yadkin_River_N.C.;*;71.6;3.84;0.76;0.128;18.6;5.94;2.92;2.17;260.1
Minnesota_River;*;80.0;2.74;0.034;0.0024;29.2;14.17;3.37;1.3;22.3
Minnesota_River;*;80.0;2.74;0.14;0.0097;29.2;14.43;3.37;1.13;34.9
Amita_River;*;37.0;0.81;0.29;0.07;45.7;4.14;3.82;1.32;23.2
Amita_River;*;42.0;0.80;0.42;0.069;52.5;6.09;3.96;1.3;30.2
White_River;**;67.0;0.59;0.35;0.044;113.6;7.95;4.73;1.2;30.2
Nooksack_River;*;86.0;2.93;1.20;0.53;29.4;2.26;3.38;1.30;153.0
Susquehanna_River;*;203.0;1.35;0.39;0.065;150.4;6.00;5.01;1.13;92.9
Bayou_Anacoco;*;20.0;0.42;0.29;0.045;47.6;6.44;3.86;1.41;13.9
Muddy_River;*;13.0;0.81;0.37;0.081;16.0;4.57;2.77;1.32;13.9
Muddy_River;*;20.0;1.20;0.45;0.099;16.7;4.55;2.82;1.33;32.5
Comite_River;*;13.0;0.26;0.31;0.044;50.0;7.05;3.91;1.31;7.0
Comite_River;*;16.0;0.43;0.37;0.056;37.2;6.61;3.62;1.31;13.9
Missouri_River;*;183.0;2.33;0.89;0.066;78.5;13.48;4.36;1.35;465.0
Missouri_River;*;201.0;3.56;1.28;0.084;56.5;15.24;4.03;1.35;837.0
Missouri_River;**;197.0;3.11;1.53;0.078;63.3;19.62;4.15;1.35;892.0
